Genus_species,Class,Familly,Genus,Species,Fishbase_url,English_name,French_name,Size,Size_ref,Mobility,Mobility_ref,Activity,Activity_ref,Schooling,Schooling_ref,Position,Position_ref,Diet,Diet_ref
Abalistes_stellatus,Actinopterygii,Balistidae,Abalistes,stellatus,https://www.fishbase.us/summary/Abalistes-stellatus.html,Starry triggerfish,,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Ablennes_hians,Actinopterygii,Belonidae,Ablennes,hians,https://www.fishbase.us/summary/Ablennes-hians.html,Flat needlefish,Orphie coutelas,>80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_notatus,Actinopterygii,Pomacentridae,Abudefduf,notatus,https://www.fishbase.us/summary/Abudefduf-notatus.html,Yellow-tail sergeant,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_septemfasciatus,Actinopterygii,Pomacentridae,Abudefduf,septemfasciatus,https://www.fishbase.us/summary/Abudefduf-septemfasciatus.html,Banded sergeant,Boeteur,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_sexfasciatus,Actinopterygii,Pomacentridae,Abudefduf,sexfasciatus,https://www.fishbase.us/summary/Abudefduf-sexfasciatus.html,Scissor-tail sergeant,Boeteur carreaux,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_sordidus,Actinopterygii,Pomacentridae,Abudefduf,sordidus,https://www.fishbase.us/summary/Abudefduf-sordidus.html,Black-spot sergeant,Boeteur roche,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_sparoides,Actinopterygii,Pomacentridae,Abudefduf,sparoides,https://www.fishbase.us/summary/Abudefduf-sparoides.html,False-eye sergeant,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_vaigiensis,Actinopterygii,Pomacentridae,Abudefduf,vaigiensis,https://www.fishbase.us/summary/Abudefduf-vaigiensis.html,Sergeant major,Sergent-major bagnard,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthocybium_solandri,Actinopterygii,Scombridae,Acanthocybium,solandri,https://www.fishbase.us/summary/Acanthocybium-solandri.html,Wahoo,Thon banane,>80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_bariene,Actinopterygii,Acanthuridae,Acanthurus,bariene,https://www.fishbase.us/summary/Acanthurus-bariene.html,Roundspot surgeonfish,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_blochii,Actinopterygii,Acanthuridae,Acanthurus,blochii,https://www.fishbase.us/summary/Acanthurus-blochii.html,Ringtail surgeonfish,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_dussumieri,Actinopterygii,Acanthuridae,Acanthurus,dussumieri,https://www.fishbase.us/summary/Acanthurus-dussumieri.html,Eyestripe surgeonfish,,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_leucosternon,Actinopterygii,Acanthuridae,Acanthurus,leucosternon,https://www.fishbase.us/summary/Acanthurus-leucosternon.html,Powder-blue surgeonfish,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_lineatus,Actinopterygii,Acanthuridae,Acanthurus,lineatus,https://www.fishbase.us/summary/Acanthurus-lineatus.html,Striped surgeonfish,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_mata,Actinopterygii,Acanthuridae,Acanthurus,mata,https://www.fishbase.us/summary/Acanthurus-mata.html,Elongate surgeonfish,Chirurgien,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_nigricauda,Actinopterygii,Acanthuridae,Acanthurus,nigricauda,https://www.fishbase.us/summary/Acanthurus-nigricauda.html,Blackstreak surgeonfish,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_nigrofuscus,Actinopterygii,Acanthuridae,Acanthurus,nigrofuscus,https://www.fishbase.us/summary/Acanthurus-nigrofuscus.html,Brown surgeonfish,Chirurgien brun,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_olivaceus,Actinopterygii,Acanthuridae,Acanthurus,olivaceus,https://www.fishbase.se/summary/Acanthurus-olivaceus.html,Orangeband surgeonfish,,30.1-50cm,Fishbase,mobile_within_a_reef,T Claverie educated guess,diurnal,as other sp in genus,3_20_individuals,as most reported sp in genus,bentho-pelagic,Fishbase,omnivorous,Fishbase
Acanthurus_tennentii,Actinopterygii,Acanthuridae,Acanthurus,tennentii,https://www.fishbase.us/summary/Acanthurus-tennentii.html,Lieutenant surgeonfish,Chirurgien lieutenant,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_thompsoni,Actinopterygii,Acanthuridae,Acanthurus,thompsoni,https://www.fishbase.us/summary/Acanthurus-thompsoni.html,Thompson's surgeonfish,Chirurgien de Thompson,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_triostegus,Actinopterygii,Acanthuridae,Acanthurus,triostegus,https://www.fishbase.us/summary/Acanthurus-triostegus.html,Convict surgeonfish,Chirurgien bagnard,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
